Open,High,Low,Close,Volume,date,50dravg,200dravg,OC%,HL%,OH%,LastOpen,LastHigh,LastLow,LastClose,LastVolume,LastOC%,LastHL%,LastOH%,ticker,label,CLOSE_x,CLOSE_y,HIGH_x,HIGH_y,LOW_x,LOW_y,OPEN_x,OPEN_y,VOLUME_x,VOLUME_y,lo_hi%_x,lo_hi%_y,op_cl%_x,op_cl%_y,time_x,time_y,volume_change,volume_change_perc,week_day_x,week_day_y
1.05,1.06,0.96,1.0,478100.0,2015-06-29,0.8622,0.90525,-0.047619047619,0.104166666667,0.00952380952381,1.0,1.23,1.0,1.05,3870100.0,0.05,0.23,0.23,ABIO,-0.047619047619,1.05,1.0189,1.05,1.0599,1.05,0.9601,1.05,1.051,7359,103844,0.0,0.103947505468,0.0,-0.030542340628,9.3,10.0,96485,13.1111564071,0,0
1.01,1.17,0.98,1.15,919900.0,2015-06-30,0.8682,0.90435,0.138613861386,0.19387755102,0.158415841584,1.05,1.06,0.96,1.0,478100.0,-0.047619047619,0.104166666667,0.00952380952381,ABIO,0.138613861386,1.01,1.03,1.01,1.05,1.01,1.01,1.01,1.05,2297,45898,0.0,0.039603960396,0.0,-0.0190476190476,9.3,10.0,43601,18.9817152808,1,1
1.09,1.12,1.06,1.09,244200.0,2015-07-02,0.877,0.90255,0.0,0.0566037735849,0.0275229357798,1.17,1.24,1.05,1.1,1010900.0,-0.0598290598291,0.180952380952,0.0598290598291,ABIO,0.0,1.09,1.075,1.09,1.0999,1.09,1.0601,1.09,1.0999,108,20838,0.0,0.0375436279596,0.0,-0.0226384216747,9.3,10.0,20730,191.944444444,3,3
1.07,1.17,1.06,1.11,295200.0,2015-07-06,0.8808,0.9015,0.0373831775701,0.103773584906,0.0934579439252,1.09,1.12,1.06,1.09,244200.0,0.0,0.0566037735849,0.0275229357798,ABIO,0.0373831775701,1.07,1.0608,1.07,1.14,1.07,1.06,1.07,1.07,4446,37944,0.0,0.0754716981132,0.0,-0.00859813084112,9.3,10.0,33498,7.53441295547,0,0
1.11,1.13,1.06,1.08,269000.0,2015-07-07,0.8848,0.90045,-0.027027027027,0.0660377358491,0.018018018018,1.07,1.17,1.06,1.11,295200.0,0.0373831775701,0.103773584906,0.0934579439252,ABIO,-0.027027027027,1.11,1.1,1.11,1.1298,1.11,1.08,1.11,1.1298,620,52080,0.0,0.0461111111111,0.0,-0.0263763497964,9.3,10.0,51460,83.0,1,1
1.07,1.1,1.03,1.05,242800.0,2015-07-08,0.8884,0.89925,-0.018691588785,0.0679611650485,0.0280373831776,1.11,1.13,1.06,1.08,269000.0,-0.027027027027,0.0660377358491,0.018018018018,ABIO,-0.018691588785,1.07,1.08,1.07,1.0999,1.07,1.07,1.07,1.0896,3300,8975,0.0,0.0279439252336,0.0,-0.00881057268722,9.3,10.0,5675,1.7196969697,2,2
1.07,1.14,1.06,1.11,209500.0,2015-07-09,0.893,0.89835,0.0373831775701,0.0754716981132,0.0654205607477,1.07,1.1,1.03,1.05,242800.0,-0.018691588785,0.0679611650485,0.0280373831776,ABIO,0.0373831775701,1.07,1.08,1.07,1.1,1.07,1.0601,1.07,1.07,3500,23161,0.0,0.0376379586831,0.0,0.00934579439252,9.3,10.0,19661,5.61742857143,3,3
1.13,1.28,1.11,1.26,1040000.0,2015-07-10,0.9014,0.89835,0.115044247788,0.153153153153,0.132743362832,1.07,1.14,1.06,1.11,209500.0,0.0373831775701,0.0754716981132,0.0654205607477,ABIO,0.115044247788,1.13,1.16,1.13,1.17,1.13,1.11,1.13,1.1499,5150,53360,0.0,0.0540540540541,0.0,0.00878337246717,9.3,10.0,48210,9.36116504854,4,4
1.34,1.55,1.28,1.51,2161400.0,2015-07-13,0.9156,0.8998,0.126865671642,0.2109375,0.15671641791,1.13,1.28,1.11,1.26,1040000.0,0.115044247788,0.153153153153,0.132743362832,ABIO,0.126865671642,1.32,1.34,1.34,1.39,1.29,1.28,1.34,1.29,18653,413658,0.0387596899225,0.0859375,-0.0149253731343,0.0387596899225,9.3,10.0,395005,21.1764863561,0,0
1.48,1.5,1.34,1.39,919500.0,2015-07-14,0.9266,0.90085,-0.0608108108108,0.119402985075,0.0135135135135,1.34,1.55,1.28,1.51,2161400.0,0.126865671642,0.2109375,0.15671641791,ABIO,-0.0608108108108,1.48,1.45,1.48,1.5,1.48,1.37,1.48,1.5,16889,268085,0.0,0.0948905109489,0.0,-0.0333333333333,9.3,10.0,251196,14.8733495174,1,1
