CLOSE_x,CLOSE_y,HIGH_x,HIGH_y,LOW_x,LOW_y,OPEN_x,OPEN_y,VOLUME_x,VOLUME_y,date,lo_hi%_x,lo_hi%_y,op_cl%_x,op_cl%_y,ticker,time_x,time_y,volume_change,volume_change_perc,week_day_x,week_day_y
1.05,1.0189,1.05,1.0599,1.05,0.9601,1.05,1.051,7359,103844,2015-06-29,0.0,0.103947505468,0.0,-0.030542340628,ABIO,9.3,10.0,96485,13.1111564071,0,0
1.01,1.03,1.01,1.05,1.01,1.01,1.01,1.05,2297,45898,2015-06-30,0.0,0.039603960396,0.0,-0.0190476190476,ABIO,9.3,10.0,43601,18.9817152808,1,1
1.09,1.075,1.09,1.0999,1.09,1.0601,1.09,1.0999,108,20838,2015-07-02,0.0,0.0375436279596,0.0,-0.0226384216747,ABIO,9.3,10.0,20730,191.944444444,3,3
1.07,1.0608,1.07,1.14,1.07,1.06,1.07,1.07,4446,37944,2015-07-06,0.0,0.0754716981132,0.0,-0.00859813084112,ABIO,9.3,10.0,33498,7.53441295547,0,0
1.11,1.1,1.11,1.1298,1.11,1.08,1.11,1.1298,620,52080,2015-07-07,0.0,0.0461111111111,0.0,-0.0263763497964,ABIO,9.3,10.0,51460,83.0,1,1
1.07,1.08,1.07,1.0999,1.07,1.07,1.07,1.0896,3300,8975,2015-07-08,0.0,0.0279439252336,0.0,-0.00881057268722,ABIO,9.3,10.0,5675,1.7196969697,2,2
1.07,1.08,1.07,1.1,1.07,1.0601,1.07,1.07,3500,23161,2015-07-09,0.0,0.0376379586831,0.0,0.00934579439252,ABIO,9.3,10.0,19661,5.61742857143,3,3
1.13,1.16,1.13,1.17,1.13,1.11,1.13,1.1499,5150,53360,2015-07-10,0.0,0.0540540540541,0.0,0.00878337246717,ABIO,9.3,10.0,48210,9.36116504854,4,4
1.32,1.34,1.34,1.39,1.29,1.28,1.34,1.29,18653,413658,2015-07-13,0.0387596899225,0.0859375,-0.0149253731343,0.0387596899225,ABIO,9.3,10.0,395005,21.1764863561,0,0
1.48,1.45,1.48,1.5,1.48,1.37,1.48,1.5,16889,268085,2015-07-14,0.0,0.0948905109489,0.0,-0.0333333333333,ABIO,9.3,10.0,251196,14.8733495174,1,1
1.38,1.375,1.38,1.38,1.38,1.37,1.38,1.3701,9085,54949,2015-07-15,0.0,0.00729927007299,0.0,0.00357638128604,ABIO,9.3,10.0,45864,5.04832140892,2,2
1.34,1.32,1.34,1.3899,1.34,1.3,1.34,1.37,4437,65374,2015-07-16,0.0,0.0691538461538,0.0,-0.036496350365,ABIO,9.3,10.0,60937,13.7338291638,3,3
1.23,1.265,1.24,1.28,1.23,1.22,1.24,1.24,14813,66770,2015-07-17,0.00813008130081,0.0491803278689,-0.00806451612903,0.0201612903226,ABIO,9.3,10.0,51957,3.50752717208,4,4
1.36,1.315,1.36,1.35,1.36,1.315,1.36,1.3413,8784,11155,2015-07-20,0.0,0.0266159695817,0.0,-0.0196078431373,ABIO,9.3,10.0,2371,0.269922586521,0,0
1.33,1.31,1.33,1.33,1.33,1.31,1.33,1.33,21888,18907,2015-07-21,0.0,0.0152671755725,0.0,-0.015037593985,ABIO,9.3,10.0,-2981,-0.136193347953,1,1
1.22,1.23,1.22,1.24,1.22,1.21,1.22,1.22,10308,17683,2015-07-22,0.0,0.0247933884298,0.0,0.00819672131148,ABIO,9.3,10.0,7375,0.715463717501,2,2
1.15,1.17,1.15,1.19,1.15,1.15,1.15,1.16,9233,11014,2015-07-23,0.0,0.0347826086957,0.0,0.00862068965517,ABIO,9.3,10.0,1781,0.192895050363,3,3
1.06,1.13,1.06,1.15,1.06,1.07,1.06,1.1,14050,56353,2015-07-24,0.0,0.0747663551402,0.0,0.0272727272727,ABIO,9.3,10.0,42303,3.01088967972,4,4
1.11,1.17,1.11,1.17,1.11,1.09,1.11,1.1101,4447,30958,2015-07-27,0.0,0.0733944954128,0.0,0.0539591027835,ABIO,9.3,10.0,26511,5.96154711041,0,0
1.16,1.14,1.16,1.19,1.16,1.1,1.16,1.19,804,18206,2015-07-28,0.0,0.0818181818182,0.0,-0.0420168067227,ABIO,9.3,10.0,17402,21.644278607,1,1
1.17,1.14,1.17,1.18,1.17,1.14,1.17,1.17,885,14314,2015-07-29,0.0,0.0350877192982,0.0,-0.025641025641,ABIO,9.3,10.0,13429,15.1740112994,2,2
1.19,1.18,1.19,1.1869,1.19,1.15,1.19,1.185,674,10115,2015-07-30,0.0,0.0320869565217,0.0,-0.0042194092827,ABIO,9.3,10.0,9441,14.0074183976,3,3
1.16,1.15,1.16,1.1899,1.16,1.1401,1.16,1.1899,18049,34970,2015-07-31,0.0,0.0436803789141,0.0,-0.0335322295991,ABIO,9.3,10.0,16921,0.937503462796,4,4
1.08,1.085,1.08,1.14,1.08,1.079,1.08,1.08,2321,16000,2015-08-03,0.0,0.0565338276182,0.0,0.00462962962963,ABIO,9.3,10.0,13679,5.8935803533,0,0
1.08,1.08,1.08,1.09,1.08,1.0601,1.08,1.08,1000,15904,2015-08-04,0.0,0.0282048863315,0.0,0.0,ABIO,9.3,10.0,14904,14.904,1,1
1.1,1.08,1.1,1.1,1.1,1.08,1.1,1.1,2000,1400,2015-08-05,0.0,0.0185185185185,0.0,-0.0181818181818,ABIO,9.3,10.0,-600,-0.3,2,2
1.04,1.06,1.04,1.06,1.04,1.04,1.04,1.04,1557,11577,2015-08-06,0.0,0.0192307692308,0.0,0.0192307692308,ABIO,9.3,10.0,10020,6.43545279383,3,3
8.95,8.77,8.95,8.78,8.95,8.75,8.95,8.78,500,1200,2015-06-26,0.0,0.00342857142857,0.0,-0.00113895216401,ADMA,9.3,10.0,700,1.4,4,4
8.78,8.852,8.78,8.99,8.78,8.65,8.78,8.71,17815,86987,2015-08-24,0.0,0.0393063583815,0.0,0.0163030998852,AFFX,9.3,10.0,69172,3.88279539714,0,0
8.65,8.42,8.65,8.6699,8.65,8.28,8.65,8.6401,17635,290489,2015-06-22,0.0,0.0470893719807,0.0,-0.0254742421963,AGEN,9.3,10.0,272854,15.4722994046,0,0
8.36,8.47,8.36,8.55,8.29,8.35,8.29,8.4,26036,161985,2015-06-23,0.00844390832328,0.0239520958084,0.00844390832328,0.00833333333333,AGEN,9.3,10.0,135949,5.22157781533,1,1
8.6,8.4099,8.6,8.62,8.55,8.4,8.58,8.6,30680,126631,2015-06-24,0.00584795321637,0.0261904761905,0.002331002331,-0.0221046511628,AGEN,9.3,10.0,95951,3.12747718383,2,2
8.54,8.42,8.54,8.54,8.54,8.42,8.54,8.51,16351,74310,2015-06-25,0.0,0.0142517814727,0.0,-0.0105757931845,AGEN,9.3,10.0,57959,3.5446761666,3,3
8.43,8.46,8.43,8.47,8.43,8.3,8.43,8.43,12073,62908,2015-06-26,0.0,0.0204819277108,0.0,0.00355871886121,AGEN,9.3,10.0,50835,4.21063530191,4,4
8.0,8.1845,8.0,8.3198,7.94,8.0,7.94,8.0,44960,194609,2015-06-29,0.00755667506297,0.039975,0.00755667506297,0.0230625,AGEN,9.3,10.0,149649,3.32849199288,0,0
8.21,8.37,8.21,8.3899,8.21,8.16,8.21,8.2232,13438,125988,2015-06-30,0.0,0.0281740196078,0.0,0.0178519311217,AGEN,9.3,10.0,112550,8.37550230689,1,1
8.7,8.9199,8.7,9.14,8.7,8.7,8.7,8.7,49442,273573,2015-07-01,0.0,0.0505747126437,0.0,0.025275862069,AGEN,9.3,10.0,224131,4.53321063064,2,2
8.84,8.67,8.84,8.9,8.84,8.63,8.84,8.87,19438,95260,2015-07-02,0.0,0.0312862108922,0.0,-0.0225479143179,AGEN,9.3,10.0,75822,3.90070994958,3,3
8.53,8.8948,8.55,8.9199,8.53,8.41,8.55,8.52,26109,245945,2015-07-06,0.00234466588511,0.0606302021403,-0.00233918128655,0.0439906103286,AGEN,9.3,10.0,219836,8.41993182428,0,0
8.8,8.83,8.8,8.9068,8.8,8.75,8.8,8.84,21695,112466,2015-07-09,0.0,0.01792,0.0,-0.00113122171946,AGEN,9.3,10.0,90771,4.18395943766,3,3
8.95,8.9,8.95,9.0,8.95,8.89,8.95,8.99,23003,129930,2015-07-10,0.0,0.0123734533183,0.0,-0.0100111234705,AGEN,9.3,10.0,106927,4.64839368778,4,4
8.94,8.7337,8.95,8.99,8.94,8.55,8.95,8.93,19003,485368,2015-07-23,0.00111856823266,0.0514619883041,-0.00111731843575,-0.0219820828667,AGEN,9.3,10.0,466365,24.5416513182,3,3
8.4,8.2253,8.5,8.5,8.38,8.04,8.5,8.39,26787,339173,2015-07-27,0.0143198090692,0.0572139303483,-0.0117647058824,-0.0196305125149,AGEN,9.3,10.0,312386,11.6618508978,0,0
8.43,8.2801,8.43,8.5,8.43,8.11,8.43,8.39,12318,152763,2015-07-28,0.0,0.0480887792848,0.0,-0.0130989272944,AGEN,9.3,10.0,140445,11.4016074038,1,1
8.29,8.28,8.29,8.4,8.29,8.2,8.29,8.3,5156,49620,2015-07-29,0.0,0.0243902439024,0.0,-0.00240963855422,AGEN,9.3,10.0,44464,8.62373933282,2,2
8.21,8.04,8.21,8.27,8.21,8.04,8.21,8.23,5683,162864,2015-07-30,0.0,0.0286069651741,0.0,-0.0230862697448,AGEN,9.3,10.0,157181,27.6581031146,3,3
8.4,8.33,8.4,8.42,8.4,8.27,8.4,8.3701,15562,40468,2015-07-31,0.0,0.0181378476421,0.0,-0.00479086271371,AGEN,9.3,10.0,24906,1.60043696183,4,4
8.5,8.32,8.5,8.56,8.5,8.3,8.5,8.51,4269,206860,2015-08-03,0.0,0.0313253012048,0.0,-0.0223266745006,AGEN,9.3,10.0,202591,47.4563129539,0,0
8.2,8.2222,8.2,8.24,8.2,8.12,8.2,8.152,25297,55182,2015-08-04,0.0,0.0147783251232,0.0,0.00861138370952,AGEN,9.3,10.0,29885,1.18136537929,1,1
8.19,8.28,8.19,8.28,8.19,8.114,8.19,8.1586,2401,112523,2015-08-05,0.0,0.0204584668474,0.0,0.0148800039222,AGEN,9.3,10.0,110122,45.8650562266,2,2
8.27,8.23,8.27,8.34,8.27,8.18,8.27,8.18,8378,163809,2015-08-06,0.0,0.0195599022005,0.0,0.00611246943765,AGEN,9.3,10.0,155431,18.5522797804,3,3
7.86,7.769,7.86,7.86,7.86,7.35,7.86,7.86,8186,423411,2015-08-07,0.0,0.069387755102,0.0,-0.0115776081425,AGEN,9.3,10.0,415225,50.7237967261,4,4
7.81,7.8298,7.81,7.96,7.81,7.74,7.81,7.75,8159,84876,2015-08-10,0.0,0.0284237726098,0.0,0.0102967741935,AGEN,9.3,10.0,76717,9.40274543449,0,0
7.75,7.8,7.75,7.95,7.75,7.67,7.75,7.75,4594,68812,2015-08-11,0.0,0.0365058670143,0.0,0.00645161290323,AGEN,9.3,10.0,64218,13.9786678276,1,1
7.4,7.49,7.4,7.52,7.39,7.36,7.39,7.4,7514,85857,2015-08-12,0.00135317997294,0.0217391304348,0.00135317997294,0.0121621621622,AGEN,9.3,10.0,78343,10.4262709609,2,2
7.55,7.44,7.55,7.59,7.54,7.38,7.54,7.55,4875,63837,2015-08-13,0.00132625994695,0.0284552845528,0.00132625994695,-0.0145695364238,AGEN,9.3,10.0,58962,12.0947692308,3,3
7.22,7.3715,7.22,7.436,7.22,7.19,7.22,7.19,10311,52430,2015-08-14,0.0,0.03421418637,0.0,0.0252433936022,AGEN,9.3,10.0,42119,4.08486082824,4,4
7.22,7.38,7.22,7.42,7.22,7.04,7.22,7.04,6035,74703,2015-08-17,0.0,0.0539772727273,0.0,0.0482954545455,AGEN,9.3,10.0,68668,11.3782932891,0,0
7.85,7.67,7.85,7.85,7.78,7.6,7.78,7.85,8574,76926,2015-08-18,0.00899742930591,0.0328947368421,0.00899742930591,-0.0229299363057,AGEN,9.3,10.0,68352,7.97200839748,1,1
7.42,7.4,7.42,7.54,7.42,7.38,7.42,7.54,3832,54540,2015-08-19,0.0,0.0216802168022,0.0,-0.0185676392573,AGEN,9.3,10.0,50708,13.232776618,2,2
7.45,7.37,7.45,7.475,7.45,7.36,7.45,7.43,2839,40557,2015-08-20,0.0,0.015625,0.0,-0.00807537012113,AGEN,9.3,10.0,37718,13.2856639662,3,3
6.92,7.22,6.92,7.22,6.92,6.9,6.92,6.9248,66071,217395,2015-08-21,0.0,0.0463768115942,0.0,0.0426293900185,AGEN,9.3,10.0,151324,2.29032404535,4,4
6.34,6.54,6.34,6.65,6.34,5.72,6.34,6.35,61700,282557,2015-08-24,0.0,0.162587412587,0.0,0.0299212598425,AGEN,9.3,10.0,220857,3.57952998379,0,0
6.88,6.74,6.88,6.8599,6.88,6.68,6.88,6.8501,16319,137757,2015-08-25,0.0,0.0269311377246,0.0,-0.0160727580619,AGEN,9.3,10.0,121438,7.44150989644,1,1
